File Name,Assert Count
test\Analysis\GlobalsModRef\weak-interposition.ll,0
test\Analysis\IVUsers\deep_recursion_in_scev.ll,0
test\Analysis\IVUsers\quadradic-exit-value.ll,2
test\Analysis\LazyCallGraph\alias.ll,0
test\Analysis\LazyCallGraph\basic.ll,34
test\Analysis\LazyCallGraph\non-leaf-intrinsics.ll,0
test\Analysis\LazyValueAnalysis\invalidation.ll,0
test\Analysis\LazyValueAnalysis\lvi-after-jumpthreading.ll,4
test\Analysis\LazyValueAnalysis\lvi-for-ashr.ll,2
test\Analysis\LegacyDivergenceAnalysis\AMDGPU\atomics.ll,6
test\Analysis\LegacyDivergenceAnalysis\AMDGPU\intrinsics.ll,0
